Trip Year,Trip Month,Start Station,Start Latitude,Start Longitude,Total Trips Started
2019,August,E 2 St & 2 Ave,40.72502876,-73.99069656,6231
2019,August,E 2 St & Avenue A,40.72307749,-73.98583621,6177
2019,August,E 2 St & Avenue B,40.72217444,-73.98368779,6609
2019,August,E 2 St & Avenue C,40.7208736,-73.98085795,4329
2019,August,E 20 St & 2 Ave,40.73587678,-73.98205027,6542
2019,August,E 20 St & FDR Drive,40.73314259,-73.97573881,5604
2019,August,E 20 St & Park Ave,40.73827428,-73.98751968,6208
2019,August,E 23 St & 1 Ave,40.736502,-73.97809472,6064
2019,August,E 24 St & Park Ave S,40.74096374,-73.98602213,11459
2019,August,E 25 St & 1 Ave,40.7381765,-73.97738662,3695
2019,August,E 25 St & 2 Ave,40.73912601,-73.97973776,6849
2019,August,E 27 St & 1 Ave,40.739445,-73.976806,4528
2019,August,E 30 St & Park Ave S,40.74444921,-73.98303529,5335
2019,August,E 31 St & 3 Ave,40.74394314,-73.97966069,6078
2019,August,E 32 St & Park Ave,40.7457121,-73.98194829,7565
2019,August,E 33 St & 1 Ave,40.74322681,-73.97449784,7269
2019,August,E 33 St & 5 Ave,40.74765947,-73.98490707,5823
2019,August,E 39 St & 2 Ave,40.74780373,-73.9734419,6736
2019,August,E 39 St & 3 Ave,40.7489006,-73.97604882,5749
2019,August,E 4 St & 2 Ave,40.7262807,-73.98978041,6727
2019,August,E 41 St & Madison Ave,40.75216528,-73.97992194,3623
2019,August,E 43 St & 2 Ave,40.75022392,-73.97121414,2473
2019,August,E 43 St & 5 Ave,40.75412081,-73.98025185,4039
2019,August,E 45 St & 3 Ave,40.75255434,-73.97282625,3751
2019,August,E 47 St & 1 Ave,40.75206862,-73.96784384,2466
2019,August,E 47 St & 2 Ave,40.75323098,-73.97032517,4305
2019,August,E 47 St & Park Ave,40.75510267,-73.97498696,8498
2019,August,E 48 St & 3 Ave,40.7546011,-73.97187886,3319
2019,August,E 48 St & 5 Ave,40.75724568,-73.97805914,7137
2019,August,E 5 St & Avenue C,40.72299208,-73.97995466,3323
2019,August,E 51 St & 1 Ave,40.75455731,-73.96592976,4380
2019,August,E 51 St & Lexington Ave,40.75714758,-73.97207836,4515
2019,August,E 53 St & 3 Ave,40.75763228,-73.96930575,6764
2019,August,E 53 St & Madison Ave,40.7597108,-73.97402311,5384
2019,August,E 55 St & 2 Ave,40.75797322,-73.96603308,3536
2019,August,E 56 St & 3 Ave,40.75934501,-73.96759673,1459
2019,August,E 58 St &  1 Ave (NW Corner),40.759125,-73.962658,2775
2019,August,E 58 St & 1 Ave (NE Corner),40.75892386,-73.96226227,1383
2019,August,E 58 St & 3 Ave,40.76095756,-73.96724467,5188
2019,August,E 58 St & Madison Ave,40.76302594,-73.97209525,2369
2019,August,E 59 St & Madison Ave,40.76350532,-73.97109243,2871
2019,August,E 6 St & Avenue B,40.72453734,-73.98185424,5851
2019,August,E 6 St & Avenue D,40.72228087,-73.97668709,3523
2019,August,E 60 St & York Ave,40.759107,-73.959223,1343
2019,August,E 65 St & 2 Ave,40.76471852,-73.9622207,1863
2019,August,E 66 St & Madison Ave,40.76800889,-73.96845281,972
2019,August,E 67 St & Park Ave,40.7678008,-73.96592081,1338
2019,August,E 68 St & 3 Ave,40.7671284,-73.96224618,1323
2019,August,E 68 St & Madison Ave,40.7691572,-73.96703464,1146
2019,August,E 7 St & Avenue A,40.72621788,-73.98379855,7736
2019,August,E 72 St & Park Ave,40.77118288,-73.96409422,3298
2019,August,E 72 St & York Ave,40.76663814,-73.95348296,3398
2019,August,E 74 St & 1 Ave,40.7689738,-73.95482273,2867
2019,August,E 75 St & 3 Ave,40.77112927,-73.95772297,1694
2019,August,E 76 St & Park Ave,40.773763,-73.96222088,1696
2019,August,E 77 St & 3 Ave,40.77314236,-73.95856158,1832
2019,August,E 78 St & 2 Ave,40.7727966,-73.95577801,1587
2019,August,E 81 St & 2 Ave,40.77477945,-73.95427465,2172
2019,August,E 81 St & 3 Ave,40.77573034,-73.9567526,1670
2019,August,E 81 St & York Ave,40.7728384,-73.94989233,2275
2019,August,E 82 St & East End Ave,40.7724607,-73.9468208,1388
2019,August,E 84 St & 1 Ave,40.77565541,-73.95068615,2745
2019,August,E 84 St & 3 Ave,40.77755374,-73.9551276,3753
2019,August,E 84 St & Park Ave,40.77862688,-73.95772073,1736
2019,August,E 85 St & York Ave,40.77536905,-73.94803392,1278
2019,August,E 88 St & 1 Ave,40.778301,-73.9488134,2329
2019,August,E 88 St & Park Ave,40.7814107,-73.95595908,1262
2019,August,E 89 St & 3 Ave,40.7806284,-73.9521667,2120
2019,August,E 89 St & York Ave,40.7779453,-73.946041,1777
2019,August,E 9 St & Avenue C,40.72521311,-73.97768752,5260
2019,August,E 91 St & 2 Ave,40.7811223,-73.94965589,2564
2019,August,E 91 St & Park Ave,40.7835016,-73.955327,1241
2019,August,E 93 St & 2 Ave,40.78245418,-73.94891962,1406
2019,August,E 97 St & 3 Ave,40.7859201,-73.94860294,620
2019,August,E 97 St & Madison Ave,40.787801,-73.953559,1888
2019,August,E 98 St & Park Ave,40.78813,-73.95206,670
2019,August,East End Ave & E 86 St,40.77518615,-73.94446054,1230
2019,August,Eastern Pkwy & Franklin Ave,40.6707767,-73.9576801,1789
2019,August,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,1025
2019,August,Eckford St & Engert Ave,40.72146256,-73.94800901,746
2019,August,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,1866
2019,August,FDR Drive & E 35 St,40.744219,-73.97121214,7916
2019,August,Flushing Ave & Vanderbilt Ave,40.69795032,-73.9707756,1854
2019,August,Forsyth St & Broome St,40.71893904,-73.99266288,6358
2019,August,Forsyth St & Canal St,40.7158155,-73.99422366,6112
2019,August,Franklin Ave & Empire Blvd,40.66314,-73.9605695,1634
2019,August,Franklin Ave & Myrtle Ave,40.69454609,-73.95801365,867
2019,August,Franklin Ave & St Marks Ave,40.6758324,-73.9561677,1071
2019,August,Franklin St & Dupont St,40.73564,-73.95866,2107
