Rider Gender,Rider Age,User Type,Total Riders
Unknown,57,Customer,64
Unknown,57,Subscriber,304
Unknown,58,Customer,52
Unknown,58,Subscriber,611
Unknown,59,Customer,56
Unknown,59,Subscriber,632
Unknown,60,Customer,61
Unknown,60,Subscriber,495
Unknown,61,Customer,17
Unknown,61,Subscriber,285
Unknown,62,Customer,65
Unknown,62,Subscriber,233
Unknown,63,Customer,15
Unknown,63,Subscriber,318
Unknown,64,Customer,6
Unknown,64,Subscriber,229
Unknown,65,Customer,10
Unknown,65,Subscriber,428
Unknown,66,Customer,1
Unknown,66,Subscriber,26
Unknown,67,Customer,2
Unknown,67,Subscriber,17
Unknown,68,Customer,20
Unknown,68,Subscriber,40
Unknown,69,Customer,28
Unknown,69,Subscriber,290
Unknown,70,Customer,25
Unknown,70,Subscriber,259
Unknown,71,Subscriber,45
Unknown,72,Customer,1
Unknown,72,Subscriber,17
Unknown,74,Subscriber,90
Unknown,75,Subscriber,7
Unknown,76,Customer,4
Unknown,76,Subscriber,11
Unknown,77,Subscriber,78
Unknown,79,Subscriber,4
Unknown,80,Subscriber,125
Unknown,81,Subscriber,66
Unknown,83,Customer,1
Unknown,84,Subscriber,50
Unknown,85,Customer,5
Unknown,85,Subscriber,10
Unknown,88,Subscriber,1
Unknown,89,Customer,4
Unknown,90,Customer,1
Unknown,93,Customer,1
Unknown,99,Subscriber,2
Unknown,101,Customer,1
Unknown,102,Subscriber,6
Unknown,104,Customer,4
Unknown,107,Customer,12
Unknown,107,Subscriber,54
Unknown,108,Subscriber,9
Unknown,110,Customer,2
Unknown,115,Customer,3
Unknown,118,Customer,11
Unknown,118,Subscriber,87
Unknown,119,Customer,27
Unknown,119,Subscriber,223
Unknown,120,Customer,15
Unknown,120,Subscriber,70
Unknown,122,Subscriber,4
Unknown,123,Subscriber,482
Unknown,127,Subscriber,78
Unknown,128,Customer,2
Unknown,130,Customer,1
Unknown,130,Subscriber,18
Unknown,131,Subscriber,43
Unknown,132,Subscriber,87
Unknown,133,Subscriber,17
Unknown,134,Subscriber,77
Unknown,135,Subscriber,87
