End Station,End Latitude,End Longitude,Total Trips Ended
Bedford Ave & S 9 St,40.70853074,-73.96408963,5690
Bergen Ave,40.72210379,-74.071455,1
Bergen Ave & E 152 St,40.817166,-73.914737,423
Bergen St & Flatbush Ave,40.68094472,-73.97567332,9913
Bergen St & Smith St,40.6867443,-73.99063168,21687
Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,12461
Berkeley Pl & 6 Ave,40.6765304,-73.97846879,6634
Berkeley Pl & 7 Ave,40.67514684,-73.97523209,9037
Berry St & N 8 St,40.7190095,-73.95852515,20138
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,10441
Boerum St & Broadway,40.70538077,-73.94976519,6730
Bond St & Bergen St,40.6849668,-73.98620772,7662
Bond St & Fulton St,40.68962189,-73.98304269,18132
Boone Ave & E 172 St,40.832649,-73.885272,32
Boston Rd & E 167 St,40.828199,-73.903719,106
Boston Rd & Prospect Ave,40.833246,-73.896599,74
Bradhurst Ave & W 148 St,40.825125,-73.941616,3653
Broad St & Bridge St,40.70365182,-74.01167797,11180
Broadway & 12 St,40.7668,-73.9347774,3822
Broadway & Battery Pl,40.70463334,-74.01361706,31335
Broadway & Berry St,40.71044554,-73.96525063,13478
Broadway & E 14 St,40.73454567,-73.99074142,63414
Broadway & E 22 St,40.7403432,-73.98955109,64646
Broadway & Furman Ave,40.68139,-73.90756,687
Broadway & Hancock St,40.68663,-73.9168,2270
Broadway & Kosciuszko St,40.69329,-73.92852,2933
Broadway & Madison St,40.68822,-73.91966,3068
Broadway & Moylan Pl,40.8143256,-73.9590255,9071
Broadway & Roebling St,40.70924826,-73.96063149,12908
Broadway & W 122 St,40.8120562,-73.9612547,4799
Broadway & W 131 St,40.817555,-73.957163,1717
Broadway & W 133 St,40.8190344,-73.956156,2316
Broadway & W 153 St,40.831327,-73.946665,1632
Broadway & W 155 St,40.83299,-73.94592,794
Broadway & W 160 St,40.835775,-73.9434,2838
Broadway & W 165 St,40.839137,-73.941409,1387
Broadway & W 25 St,40.74286877,-73.98918629,54144
Broadway & W 29 St,40.7462009,-73.98855723,37201
Broadway & W 36 St,40.75097711,-73.98765428,18531
Broadway & W 37 St,40.75172632,-73.98753523,16568
Broadway & W 38 St,40.75299641,-73.98721619,23388
Broadway & W 41 St,40.75513557,-73.98658032,42728
Broadway & W 49 St,40.76068327,-73.98452729,36868
Broadway & W 51 St,40.76228826,-73.98336183,21412
Broadway & W 53 St,40.76344058,-73.98268129,22970
Broadway & W 56 St,40.7652654,-73.98192338,47526
Broadway & W 60 St,40.76915505,-73.98191841,65319
Broadway & Whipple St,40.7016657,-73.9437303,7269
Bronx Shore Comfort Station,40.80046,-73.92404,260
Brook Ave & E 138 St,40.807408,-73.91924,1250
Brook Ave & E 141 St,40.809619,-73.917875,445
Brook Ave & E 148 St,40.814383,-73.915368,653
Brook Ave & E 157 St,40.820713,-73.911759,787
Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,12270
Bus Slip & State St,40.701907,-74.013942,17968
Bushwick Ave & Dekalb Ave,40.69502,-73.92825,2682
Bushwick Ave & Forrest St,40.70076,-73.93641,2273
Bushwick Ave & Furman Ave,40.68281,-73.90623,658
Bushwick Ave & Harman St,40.69356,-73.92524,2335
Bushwick Ave & Linden St,40.69146,-73.92146,1744
Bushwick Ave & McKibbin St,40.705517,-73.93936,2698
Bushwick Ave & Powers St,40.71247661,-73.94100005,7084
Bushwick Ave & Stagg St,40.709897,-73.94008,1959
Butler St & Court St,40.6849894,-73.99440329,5628
Cabrini Blvd & W 177 St,40.848282,-73.941343,1103
Cadman Plaza E & Johnson St,40.69531728,-73.99015725,9051
Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,13006
Cadman Plaza West & Montague St,40.69383,-73.990539,6790
Calyer St & Jewel St,40.72984,-73.94839,2832
Cambridge Pl & Gates Ave,40.68488,-73.96304,7080
Canal St & Rutgers St,40.71427487,-73.98990025,40150
Carlton Ave & Dean St,40.6809741,-73.9710097,10120
Carlton Ave & Flushing Ave,40.697787,-73.973736,6950
Carlton Ave & Park Ave,40.69580705,-73.97355569,6321
Carmine St & 6 Ave,40.73038599,-74.00214988,49008
Carroll St & 5 Ave,40.6751622,-73.9814832,9908
Carroll St & 6 Ave,40.6740886,-73.9787282,6358
Carroll St & Bond St,40.6786115,-73.99037292,7696
Carroll St & Columbia St,40.6830456,-74.00348559,4396
Carroll St & Franklin Ave,40.6679411,-73.9588,2520
Carroll St & Smith St,40.680611,-73.99475825,8438
Carroll St & Washington Ave,40.6686744,-73.9618148,2706
Cathedral Pkwy & Broadway,40.804213,-73.96699104,15363
Catherine St & Monroe St,40.71117444,-73.99682619,15422
Cauldwell Ave & E 158 St,40.81989,-73.908351,250
Cauldwell Ave & E 161 St,40.82188,-73.907521,763
Cedar St & Evergreen Ave,40.69671,-73.92807,1326
Cedar St & Myrtle Ave,40.697842,-73.926241,4523
Center Blvd & 48 Ave,40.745038,-73.957539,7669
Center Blvd & 51 Ave,40.74336608,-73.95960689,9822
Central Ave & Covert St,40.68929,-73.90951,919
Central Ave & Decatur St,40.6882,-73.90798,1072
Central Ave & Flushing Ave,40.702831,-73.9333,3674
Central Ave & Himrod St,40.69676,-73.92302,1766
Central Ave & Melrose St,40.70112,-73.93039,1662
Central Ave & Starr Street,40.700003,-73.92834,4214
Central Ave & Weirfield St,40.69055,-73.91181,1625
Central Ave & Woodbine St,40.69296,-73.91605,1573
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,32325
Central Park S & 6 Ave,40.76590936,-73.97634151,50672
Central Park W & W 103 St,40.79603684,-73.96158904,6152
Central Park W & W 91 St,40.78866499,-73.96680057,8875
Central Park W & W 96 St,40.79127,-73.964839,16332
Central Park W & W 97 St,40.79249519,-73.96417066,13175
Central Park West & W 100 St,40.79406661,-73.96286845,9598
Central Park West & W 102 St,40.795346,-73.96186,3225
Central Park West & W 68 St,40.7734066,-73.97782542,38099
Central Park West & W 72 St,40.77579377,-73.97620574,42122
Central Park West & W 76 St,40.77896784,-73.97374737,23556
Central Park West & W 82 St,40.782593,-73.971211,7152
Central Park West & W 85 St,40.78472675,-73.96961715,13860
Central Park West & W 85 St,40.78476,-73.969862,14688
Centre St & Chambers St,40.71273266,-74.0046073,34556
Centre St & Seneca Ave,40.69969,-73.9022,733
Centre St & Worth St,40.71494807,-74.00234482,15831
Charlotte St & Boston Rd,40.8358771,-73.8931428,1
Cherry St,40.71219906,-73.97948148,19966
Christopher St & Greenwich St,40.73291553,-74.00711384,68132
City Hall,40.7177325,-74.043845,13
Clark St & Henry St,40.69760127,-73.99344559,16248
Classon Ave & St Marks Ave,40.6765198,-73.9596082,8283
