Start Station,Average Trip Duration,Trip rounded to min
Kent St & McGuinness Blvd,1348.52,22
Kingsland Ave & Nassau Ave,1003.99,17
Kingston Ave & Herkimer St,1904.76,32
Knickerbocker Ave & Cooper St,2015.55,34
Knickerbocker Ave & George St,1560.58,26
Knickerbocker Ave & Halsey St,1337.75,22
Knickerbocker Ave & Hancock St,1154.78,19
Knickerbocker Ave & Thames St,1637.49,27
Kosciuszko St & Nostrand Ave,1493.02,25
Kosciuszko St & Tompkins Ave,1610.98,27
LaGuardia Pl & W 3 St,1011.37,17
Lafayette Ave & Classon Ave,1050.85,18
Lafayette Ave & Fort Greene Pl,1069.02,18
Lafayette Ave & Hunts Point Ave,832,14
Lafayette Ave & St James Pl,1178.43,20
Lafayette St & E 8 St,863.15,14
Lafayette St & Jersey St,970.45,16
Lafayette St & Jersey St S,892.85,15
Laight St & Hudson St,1126.75,19
Lawrence St & Willoughby St,1219.72,20
Lefferts Pl & Franklin Ave,1258.3,21
Lenox Ave & W 111 St,1397.75,23
Lenox Ave & W 115 St,2399.39,40
Lenox Ave & W 117 St,1995.41,33
Lenox Ave & W 126 St,1925.48,32
Lenox Ave & W 130 St,3148.11,52
Lenox Ave & W 133 St,3042.16,51
Lenox Ave & W 144 St,2098.3,35
Lenox Ave & W 146 St,4158.94,69
Leonard St & Boerum St,1155.08,19
Leonard St & Church St,938.19,16
Leonard St & Maujer St,1105.55,18
Leonard St & Nassau Ave,799.05,13
Lewis Ave & Decatur St,1498.69,25
Lewis Ave & Kosciuszko St,2245.59,37
Lewis Ave & Madison St,1733.26,29
Lexington Ave & Classon Ave,1188.65,20
Lexington Ave & E 111 St,1179.01,20
Lexington Ave & E 120 St,1430.05,24
Lexington Ave & E 127 St,2102.54,35
Lexington Ave & E 128 St,1453.92,24
Lexington Ave & E 26 St,1019.51,17
Lexington Ave & E 29 St,887.19,15
Lexington Ave & E 36 St,929.05,15
Lexington Ave & E 63 St,983.12,16
Liberty St & Broadway,1043.56,17
Liberty St & Nassau St,1273.6,21
Lincoln Ave & E 134 St,1479.95,25
Lincoln Ave & E 138 St,1662.91,28
Lincoln Pl & Classon Ave,1417.86,24
Linden St & Knickerbocker Ave,1334.56,22
Lispenard St & Broadway,1018.38,17
Little West St & 1 Pl,1347.72,22
Longfellow Ave & E 165 St,1981.25,33
Longwood Ave & Southern Blvd,1348.39,22
Lorimer St & Broadway,1138.7,19
Lorimer St & Calyer St,989.66,16
Louis Nine Blvd & Intervale Ave,2815.44,47
MacDougal St & Prince St,1163.91,19
MacDougal St & Washington Sq,994.66,17
Macombs Pl & W 152 St,1943.69,32
Macon St & Nostrand Ave,1755.41,29
Madison Av & E 51 St,1109.44,18
Madison Ave & E 120 St,1631.61,27
Madison Ave & E 26 St,1028.02,17
Madison Ave & E 82 St,1386.27,23
Madison Ave & E 99 St,1028.43,17
Madison St & Clinton St,1107.92,18
Madison St & Cypress Ave,1626.83,27
Madison St & Evergreen Ave,1203.65,20
Madison St & Forest Ave,1546.53,26
Madison St & Montgomery St,1160.08,19
Madison St & Seneca Ave,2630.76,44
Madison St & Woodward Ave,1627.32,27
Maiden Ln & Pearl St,1323.27,22
Manhattan Av & Leonard St,1078.65,18
Marcus Garvey Blvd & Macon St,1753.22,29
Marcy Ave & Lafayette Ave,1336.55,22
Market St & Cherry St,999.62,17
McGuinness Blvd & Eagle St,1059.75,18
McKibbin St & Bogart St,1854.15,31
McKibbin St & Manhattan Ave,1074.23,18
Melrose Ave & E 150 St,2052.87,34
Melrose Ave & E 154 St,7459.2,124
Melrose St & Broadway,1412.55,24
Menahan St & Central Ave,2060.56,34
Menahan St & Onderdonk Ave,1532.31,26
Menahan St & Seneca Ave,1132.29,19
Menahan St & Wyckoff Ave,1645.7,27
Mercer St & Bleecker St,952.73,16
Mercer St & Spring St,1226.62,20
Meserole Ave & Manhattan Ave,898.32,15
Metropolitan Ave & Bedford Ave,1011.16,17
Metropolitan Ave & Meeker Ave,1015.15,17
Metropolitan Ave & Stewart Ave,1331.62,22
Metropolitan Ave & Vandervoort Ave,1379.96,23
Milton St & Franklin St,1044.14,17
Moffat St & Bushwick,2642.88,44
Monroe St & Bedford Ave,1039.71,17
Monroe St & Classon Ave,970.93,16
Monroe St & Tompkins Ave,1772.41,30
Montague St & Clinton St,1169.28,19
Montgomery St & Franklin Ave,2363.05,39
Montrose Ave & Bushwick Ave,1372.71,23
Morgan Ave & Lombardy St,1223.73,20
Morgan Ave & Maspeth Ave,1551.05,26
Morningside Ave & W 123 St,1858.78,31
Morningside Dr & Amsterdam Ave,1229.06,20
Morris Ave & E 142 St,1233.01,21
Morris Ave & E 153 St,4704.97,78
Morris Ave & E 171 St,54211.24,904
Morris Ave & McClellan St,10608.2,177
Motorgate,1660.12,28
Mott St & Prince St,1001.22,17
Mount Eden Pkwy & Eastburn Ave,1402.06,23
Mt Morris Park W & W 120 St,1242.18,21
Murray St & Greenwich St,1032.79,17
Murray St & West St,1180.87,20
Myrtle Ave & Grove St,1329.04,22
Myrtle Ave & Lewis Ave,2260.9,38
Myrtle Ave & Linden St,1239.38,21
Myrtle Ave & Marcy Ave,1395.07,23
Myrtle Ave & St Edwards St,1011.16,17
N 11 St & Kent Ave,1450.22,24
N 12 St & Bedford Ave,1117.47,19
N 15 St & Wythe Ave,985.98,16
N 6 St & Bedford Ave,922.44,15
NYCBS DEPOT - DELANCEY,1639,27
Nassau Ave & Newell St,1231.29,21
Nassau Ave & Russell St,957.78,16
Nassau St & Navy St,1497.13,25
Nelson Ave & W 172 St,6179.22,103
Newton Rd & 44 St,1733.35,29
Newtown Ave & 23 St,818.19,14
Norfolk St & Broome St,1299.35,22
Norman St & Wyckoff Ave,1793.2,30
North Moore St & Greenwich St,1014.07,17
Nostrand Ave & Myrtle Ave,1137.32,19
Ogden Ave & Merriam Ave,4357.94,73
Ogden Ave & W 164 St,4786.1,80
Ogden Ave & W 165 St,4279.07,71
Old Broadway & W 133 St,1987.83,33
Old Fulton St,1861.86,31
Old Slip & Front St,1251.36,21
Onderdonk Ave & Dekalb Ave,1877.2,31
Onderdonk Ave & Gates Ave,1340.84,22
Pacific St & Classon Ave,1006.24,17
Pacific St & Nevins St,1109.11,18
Park Ave & E 124 St,1326.02,22
Park Ave & E 162 St,2753.22,46
Park Ave & Marcus Garvey Blvd,1812.93,30
Park Ave & St Edwards St,799.91,13
Park Pl & Church St,1181.58,20
Park Pl & Franklin Ave,1681.28,28
Park Pl & Vanderbilt Ave,1264.08,21
Pearl St & Hanover Square,1290.59,22
Pearl St & Peck Slip,1728.93,29
Peck Slip & Front St,1153.57,19
Perry St & Bleecker St,954.58,16
Perry St & Greenwich Ave,1060.42,18
Pershing Square North,1054.94,18
Pershing Square South,919.74,15
Picnic Point,1864.71,31
Pier 40 - Hudson River Park,1242.09,21
Pierrepont St & Monroe Pl,962.42,16
Pike St & E Broadway,979.37,16
Pike St & Monroe St,1123.62,19
Pioneer St & Richards St,2234.54,37
Pioneer St & Van Brunt St,1513.32,25
Pitt St & Stanton St,972.6,16
Plaza Dr & W 170 St,2013.89,34
Plaza St West & Flatbush Ave,1136.63,19
Pleasant Ave & E 116 St,1141.01,19
Pleasant Ave & E 120 St,2043.99,34
Powers St & Olive St,949.37,16
President St & Henry St,1001.07,17
Prospect Ave & E 151 St,7375.74,123
Prospect Ave & E 167 St,891.23,15
Prospect Ave & Jennings St,2154.47,36
Prospect Ave & Longwood Ave,5156.14,86
Prospect Park West & 8 St,1298.78,22
Prospect Pl & 6 Ave,1076.8,18
Prospect Pl & Underhill Ave,978.34,16
Pulaski St & Marcus Garvey Blvd,3155.96,53
Putnam Ave & Knickerbocker Ave,1172.63,20
Putnam Ave & Nostrand Ave,1977.13,33
Putnam Ave & Throop Ave,2265.83,38
Putnam Ave & Wyckoff Ave,1039.85,17
Queens Plaza North & Crescent St,1209.98,20
Railroad Ave & Kay Ave,921.06,15
Reade St & Broadway,1291.87,22
Richards St & Delavan St,981.73,16
Richardson St & N Henry St,936.49,16
River Ave & E 151 St,978.86,16
River Ave & E 153 St,1679.4,28
River Ave & McClellan St,1822.07,30
Riverside Blvd & W 67 St,1348.13,22
Riverside Dr & W 104 St,1530.33,26
Riverside Dr & W 138 St,2326.13,39
Riverside Dr & W 145 St,2059.13,34
Riverside Dr & W 148 St,2015.58,34
Riverside Dr & W 72 St,1384.75,23
Riverside Dr & W 78 St,1703.1,28
Riverside Dr & W 82 St,1411.59,24
Riverside Dr & W 91 St,1588.29,26
Rivington St & Chrystie St,1236.83,21
Rivington St & Ridge St,1074.52,18
Rockaway Ave & Bainbridge St,1672.95,28
Roebling St & N 4 St,1114.53,19
Rogers Ave & Sterling St,3678.55,61
Roosevelt Island Tramway,1975.23,33
S 3 St & Bedford Ave,1257.26,21
S 4 St & Rodney St,1252.36,21
S 4 St & Wythe Ave,1331.96,22
S 5 Pl & S 5 St,1403.56,23
S Portland Ave & Hanson Pl,992.58,17
Sands St Gate,1128.93,19
Schermerhorn St & Bond St,1075.96,18
Schermerhorn St & Court St,1227.46,20
Scholes St & Manhattan Ave,1008.54,17
Shakespeare Ave & W 169 St,6480.18,108
Sharon St & Olive St,1134.38,19
Sheridan Ave & E 168 St,4420.29,74
Sheridan Ave & E 172 St,1352,23
Sherman Ave & E 166 St,12643.34,211
Sigourney St & Columbia St,2317.9,39
Smith St & 3 St,1035.91,17
Smith St & 9 St,979,16
Soissons Landing,2517.26,42
Somers St & Broadway,7341.84,122
South End Ave & Liberty St,1162.8,19
South St & Gouverneur Ln,1385.76,23
South St & Whitehall St,1547.38,26
Southern Blvd & Avenue St. John,1847.76,31
Southern Blvd & E 142 St,1555.03,26
Southern Blvd & E 149 St,1037.8,17
Southern Blvd & E 172 St,9523.54,159
Southern Blvd & E 175 St,2242.14,37
Southern Blvd & Tiffany St,4974.95,83
Southpoint Park,2254.19,38
Spruce St & Nassau St,1358.92,23
St Ann's Ave & Westchester Ave,1214.36,20
St James Pl & Oliver St,874.09,15
St James Pl & Pearl St,955.82,16
St Johns Pl & Washington Ave,1090.49,18
St Marks Pl & 1 Ave,946.68,16
St Marks Pl & 2 Ave,1066.95,18
St Mary's St & Jackson Ave,1454.4,24
St Nicholas Ave & E 134 St,2504.66,42
St Nicholas Ave & Manhattan Ave,1261.79,21
St Nicholas Ave & W 137 St,2289.67,38
St Nicholas Ave & W 150 St,1420.26,24
St. Ann's Av & Bruckner Blvd,2480.48,41
St. Ann's Ave & E 144 St,3165.12,53
St. Nicholas Ave & W 126 St,1712.63,29
St. Nicholas Ave & W 155 St,1198.31,20
St. Nicholas Ave & W 157 St,2111.36,35
St. Nicholas Terrace & Convent Ave,1255.07,21
Stagg St & Morgan Ave,1928.61,32
Stagg St & Union Ave,1030.42,17
Stanhope St & Fairview Ave,1297.74,22
Stanton St & Chrystie St,926.67,15
Stanton St & Mangin St,1052.6,18
Stanton St & Norfolk St,1154.34,19
State St & Smith St,977.47,16
Steinway St & 23 Ave,1388,23
Steinway St & 28 Ave,1559.45,26
Stephen St & Seneca Ave,1466.63,24
Sterling Pl & Bedford Ave,1502.84,25
Sterling St & Bedford Ave,2429.29,40
Stewart Ave & Johnson Ave,1219.87,20
Stockholm St & Wilson Ave,1287.34,21
Stuyvesant Walk & 1 Av Loop,880.74,15
Suffolk St & Stanton St,1059.65,18
Sullivan Pl & Bedford Ave,2940.61,49
Sullivan Pl & Franklin Ave,1913.32,32
Sullivan St & Washington Sq,1000.43,17
Sunken Meadow Comfort Station,1957.34,33
Suydam St & Broadway,1133.4,19
Suydam St & Knickerbocker Ave,1457.27,24
Suydam St & St. Nicholas Ave,1654.61,28
Throop Ave & Myrtle Ave,1563.42,26
Tinton Ave & E 165 St,1375.15,23
Tompkins Ave & Hopkins St,1521.99,25
Underhill Ave & Lincoln Pl,1049.8,17
Underhill Ave & Pacific St,1299.97,22
Union Ave & E 169 St,1188,20
Union Ave & Jackson St,1422.2,24
Union Ave & N 12 St,1107.5,18
Union Ave & Wallabout St,944.61,16
Union St & 4 Ave,1025.27,17
Union St & Bedford Ave,2048.37,34
Union St & Nevins St,1035.04,17
University Ave & W 168 St,1061.83,18
University Pl & E 14 St,1023.45,17
University Pl & E 8 St,1028.11,17
Van Brunt St & Van Dyke St,1473.14,25
Van Brunt St & Wolcott St,1367.6,23
Van Buren St & Broadway,1310.45,22
Van Sinderen Ave & Truxton St,3236.69,54
Vernon Blvd & 10 St,1661.49,28
Vernon Blvd & 30 Rd,1558.65,26
Vernon Blvd & 31 Ave,1483.39,25
Vernon Blvd & 41 Rd,1468.19,24
Vernon Blvd & 47 Rd,1123.52,19
Vernon Blvd & 50 Ave,745.54,12
Verona Pl & Fulton St,1533.87,26
Vesey Pl & River Terrace,1249.07,21
W 100 St & Broadway,1224.94,20
W 100 St & Manhattan Ave,1084.36,18
W 104 St & Amsterdam Ave,1317.4,22
W 106 St & Amsterdam Ave,1217.47,20
W 106 St & Central Park West,1463.3,24
W 107 St & Columbus Ave,1341.05,22
W 11 St & 6 Ave,834.38,14
W 110 St & Amsterdam Ave,1317.35,22
W 113 St & Broadway,1388.15,23
W 116 St & Amsterdam Ave,1379.25,23
W 116 St & Broadway,1428.05,24
W 120 St & Claremont Ave,1258.93,21
W 129 St & Convent Ave,2626.37,44
W 13 St & 5 Ave,909.53,15
W 13 St & 7 Ave,818.8,14
W 133 St & 12 Ave,2093.5,35
W 135 St & Lenox Terrace Pl,2187.57,36
W 140 St & Riverside Dr,1877.45,31
W 144 St & Adam Clayton Powell Blvd,3448.96,57
W 145 St & Amsterdam Ave,2148.35,36
W 146 St & Broadway,1458.18,24
W 147 St & Adam Clayton Powell Blvd,2897.86,48
W 148 St & Amsterdam Ave,1345.06,22
W 15 St & 10 Ave,1249.14,21
W 15 St & 6 Ave,971.68,16
W 15 St & 7 Ave,878.91,15
W 155 St & Frederick Douglass Blvd,2841.87,47
W 159 St & Edgecombe Ave,1408.65,23
W 16 St & The High Line,986.87,16
W 160 St & St. Nicholas Ave,2353.87,39
W 163 St & Edgecombe Ave,1485.16,25
W 163 St & Riverside Dr,1949.82,32
W 165 St & Fort Washington Ave,1709.4,28
W 169 St & Fort Washington Ave,1823.2,30
W 17 St & 8 Ave,908.05,15
W 170 St & University Ave,2224.35,37
W 171 St & St. Nicholas Ave,1600.24,27
W 18 St & 6 Ave,744.83,12
W 18 St & 9 Ave,1209.3,20
W 180 St & Ft Washington Ave,2039.45,34
W 181 St & Riverside Dr,2201.39,37
W 20 St & 10 Ave,975.05,16
W 20 St & 11 Ave,1051.68,18
W 20 St & 7 Ave,909.53,15
W 20 St & 8 Ave,875.92,15
W 21 St & 6 Ave,801.37,13
W 22 St & 10 Ave,940.31,16
W 22 St & 8 Ave,924.4,15
W 24 St & 7 Ave,851.31,14
W 25 St & 6 Ave,890.27,15
W 26 St & 10 Ave,1043.92,17
W 26 St & 8 Ave,872.29,15
W 27 St & 7 Ave,912.21,15
W 30 St & 10 Ave,1399.78,23
W 31 St & 7 Ave,875.41,15
W 33 St & 7 Ave,985.47,16
W 34 St & 11 Ave,1312.46,22
W 35 St & Dyer Ave,1174.15,20
W 36 St & 9 Ave,1161.45,19
W 37 St & 10 Ave,1030.66,17
W 37 St & 5 Ave,896.44,15
W 38 St & 8 Ave,993.35,17
W 39 St & 9 Ave,449.33,7
W 4 St & 7 Ave S,995.12,17
W 40 St & 5 Ave,998.74,17
W 41 St & 8 Ave,1056.84,18
W 42 St & 6 Ave,1187.16,20
W 42 St & 8 Ave,1078.37,18
W 42 St & Dyer Ave,982.09,16
W 43 St & 10 Ave,995.43,17
W 44 St & 5 Ave,938.98,16
W 45 St & 6 Ave,1174.11,20
W 45 St & 8 Ave,1360.75,23
W 46 St & 11 Ave,1273.21,21
W 47 St & 10 Ave,960.14,16
W 47 St & 6 Ave,1499.1,25
W 48 St & Rockefeller Plaza,1030.76,17
W 49 St & 8 Ave,1068.99,18
W 50 St & 9 Ave,1222.86,20
W 51 St & 6 Ave,1173.25,20
W 51 St & Rockefeller Plaza,1096.3,18
W 52 St & 11 Ave,1181.18,20
W 52 St & 5 Ave,944.65,16
W 52 St & 6 Ave,923.26,15
W 53 St & 10 Ave,1040.74,17
W 54 St & 9 Ave,1011.36,17
W 55 St & 6 Ave,1287.46,21
W 56 St & 10 Ave,1138.45,19
W 59 St & 10 Ave,1095.41,18
W 63 St & Broadway,1058.91,18
W 64 St & Thelonious Monk Circle,1176.89,20
W 67 St & Broadway,1034.24,17
W 70 St & Amsterdam Ave,1004.83,17
W 74 St & Columbus Ave,993.51,17
W 76 St & Columbus Ave,1203.88,20
W 78 St & Amsterdam Ave,1161.34,19
W 78 St & Broadway,955.21,16
W 82 St & Central Park West,1230.65,21
W 84 St & Broadway,1119.77,19
W 84 St & Columbus Ave,1073.03,18
W 87 St & Amsterdam Ave,1088.47,18
W 87 St & West End Ave,1122.54,19
W 88 St & West End Ave,1114.56,19
W 89 St & Columbus Ave,1132.51,19
W 90 St & Amsterdam Ave,1014.54,17
W 92 St & Broadway,1219.03,20
W 95 St & Broadway,1071.06,18
W Broadway & Spring St,1017.31,17
W Broadway & Spring Street,896.11,15
W Broadway & W Houston St,1482.76,25
Wadsworth Ave & W 175 St,3073.23,51
Wadsworth Ave & W 179 St,2561.83,43
Wales Ave & E 147 St,2232.67,37
Wall St & South St,1666.4,28
Walnut Ave & E 136 St,1563.86,26
Walton Ave & E 168 St,5311.85,89
Walton Ave & E 171 St,5980.25,100
Wards Meadow Comfort Station,1756.74,29
Warren St & Court St,996.52,17
Warren St & W Broadway,1894.03,32
Washington Ave & E 163 St,1383.42,23
Washington Ave & E 167 St,2478.61,41
Washington Ave & E 174 St,1953.24,33
Washington Ave & Greene Ave,1190.24,20
Washington Ave & Park Ave,1045.58,17
Washington Park,948.43,16
Washington Pl & 6 Ave,1032.97,17
Washington Pl & Broadway,913.08,15
Washington St & Gansevoort St,1180.99,20
Water - Whitehall Plaza,1451.52,24
Waterbury St & Stagg St,1416.72,24
Waterloo Pl & Crotona Park East,2109.7,35
Watts St & Greenwich St,1056.17,18
Webster Ave & E 166 St,1334,22
West Drive & Prospect Park West,1877.23,31
West End Ave & W 107 St,1118.33,19
West End Ave & W 60 St,1258.18,21
West End Ave & W 78 St,1616.56,27
West End Ave & W 94 St,1400.19,23
West Farms Rd & Boone Ave,1488.38,25
West St & Chambers St,1347.14,22
West St & Liberty St,1430.33,24
West Thames St,1157.61,19
Westchester Ave & E 156 St,2140.54,36
Westchester Ave & Jackson Ave,2943.75,49
Westchester Ave & Longwood Ave,4373.26,73
White St & Johnson Ave,1464.02,24
White St & Moore St,1799.04,30
Wilkins Ave & Crotona Park E,2026.01,34
William St & Pine St,1147.01,19
Willis Ave & Bruckner Blvd,2307.15,38
Willis Ave & E 137 St,4268.72,71
Willis Ave & E 141 St,5859.08,98
Willis Ave & E 143 St,1455.78,24
Willoughby Ave & Hall St,823.25,14
Willoughby Ave & Myrtle Ave,1244.13,21
Willoughby Ave & Onderdonk Ave,1461.75,24
Willoughby Ave & Tompkins Ave,1156.29,19
Willoughby Ave & Walworth St,1245.43,21
Willoughby Ave & Wyckoff Ave,1962.54,33
Willoughby St & Ashland Pl,1924.56,32
Willoughby St & Fleet St,1055.91,18
Willow Ave & E 133 St,2038.05,34
Wilson Ave & Moffat St,1599.67,27
Wilson Ave & Troutman St,1414.8,24
Withers St & Kingsland Ave,1016.22,17
Wolcott St & Dwight St,956.85,16
Woodward Ave & Harman St,1223.38,20
Wyckoff Av & Jefferson St,1949.38,32
Wyckoff Av & Stanhope St,1627.58,27
Wyckoff St & 3 Ave,714.72,12
Wyckoff St & Bond St,2005.07,33
Wyckoff St & Nevins St,1344.08,22
Wythe Ave & Metropolitan Ave,1145.01,19
Yankee Ferry Terminal,2583.03,43
