Start Station,Average Trip Duration,Trip rounded to min
Adam Clayton Powell Blvd & W 130 St,2405.93,40
Adam Clayton Powell Blvd & W 132 St,1788.91,30
Adam Clayton Powell Blvd & W 138 St,1893.4,32
Adam Clayton Powell Blvd & W 141 St,2050.55,34
Adam Clayton Powell Blvd & W 151 St,5065.55,84
Adelphi St & Myrtle Ave,806.87,13
Albany Ave & Fulton St,3119.39,52
Alexander Ave & E 134 St,1742.82,29
Allen St & Hester St,1017.62,17
Allen St & Rivington St,1005.62,17
Allen St & Stanton St,1018.22,17
Amsterdam Ave & W 119 St,1007.71,17
Amsterdam Ave & W 125 St,2928.59,49
Amsterdam Ave & W 131 St,2292.77,38
Amsterdam Ave & W 136 St,4573.48,76
Amsterdam Ave & W 152 St,1509.38,25
Amsterdam Ave & W 156 St,2099.38,35
Amsterdam Ave & W 162 St,1946.48,32
Amsterdam Ave & W 167 St,1784.95,30
Amsterdam Ave & W 172 St,1754.94,29
Amsterdam Ave & W 175 St,1613.61,27
Amsterdam Ave & W 180 St,2768.17,46
Amsterdam Ave & W 183 St,2867.49,48
Amsterdam Ave & W 66 St,1140.34,19
Amsterdam Ave & W 73 St,984.61,16
Amsterdam Ave & W 79 St,1178.52,20
Amsterdam Ave & W 82 St,1057.68,18
Anderson Ave & W 164 St,2141.83,36
Astoria Park S & Shore Blvd,1172.48,20
Atlantic Ave & Fort Greene Pl,1025.25,17
Atlantic Ave & Furman St,1453.59,24
Audobon Ave & W 179 St,1759.93,29
Avenue C & E 18 St,1038.51,17
Avenue D & E 10 St,1103.45,18
Avenue D & E 12 St,1194.96,20
Avenue D & E 3 St,1067.45,18
Avenue D & E 8 St,1213.62,20
Baltic St & 5 Ave,1133.94,19
Bank St & Hudson St,1002.87,17
Bank St & Washington St,1127.34,19
Banker St & Meserole Ave,1081.63,18
Barclay St & Church St,1272.13,21
Barrow St & Hudson St,987.09,16
Barry St & Tiffany St,2047.53,34
Bayard St & Baxter St,1152.55,19
Bayard St & Leonard St,837.44,14
Beaver St & Fayette St,1082.38,18
Beck St & Leggett Ave,1658.96,28
Bedford Ave & Bergen St,1371.51,23
Bedford Ave & Montgomery St,1823.14,30
Bedford Ave & Nassau Ave,1066.29,18
Bedford Ave & S 9 St,1191.54,20
Bergen Ave & E 152 St,1226.39,20
Bergen St & Flatbush Ave,1016.42,17
Bergen St & Smith St,922.55,15
Bergen St & Vanderbilt Ave,1088.83,18
Berkeley Pl & 6 Ave,1274.15,21
Berkeley Pl & 7 Ave,1009.67,17
Berry St & N 8 St,938.77,16
Bialystoker Pl & Delancey St,1158.37,19
Boerum St & Broadway,907.94,15
Bond St & Bergen St,1119.65,19
Bond St & Fulton St,952.64,16
Boone Ave & E 172 St,1305.23,22
Boston Rd & E 167 St,1689.87,28
Boston Rd & Prospect Ave,3219.52,54
Bradhurst Ave & W 148 St,1765.21,29
Broad St & Bridge St,1363.46,23
Broadway & 12 St,1514.65,25
Broadway & Battery Pl,1345.55,22
Broadway & Berry St,1094.19,18
Broadway & E 14 St,916.1,15
Broadway & E 22 St,927.46,15
Broadway & Furman Ave,2159.47,36
Broadway & Hancock St,2159.78,36
Broadway & Kosciuszko St,1368.08,23
Broadway & Madison St,1818.69,30
Broadway & Moylan Pl,1667.52,28
Broadway & Roebling St,1060.7,18
Broadway & W 122 St,1382.46,23
Broadway & W 131 St,1605.08,27
Broadway & W 133 St,2370.26,40
Broadway & W 153 St,1576.64,26
Broadway & W 155 St,1586.06,26
Broadway & W 160 St,2959,49
Broadway & W 165 St,2377.43,40
Broadway & W 25 St,1062.5,18
Broadway & W 29 St,985.78,16
Broadway & W 36 St,1114.5,19
Broadway & W 37 St,1101.62,18
Broadway & W 38 St,933.44,16
Broadway & W 41 St,952.54,16
Broadway & W 49 St,1057.37,18
Broadway & W 51 St,1049.86,17
Broadway & W 53 St,964.24,16
Broadway & W 56 St,1079.81,18
Broadway & W 60 St,1225.26,20
Broadway & Whipple St,1361.12,23
Bronx Shore Comfort Station,1927.43,32
Brook Ave & E 138 St,5942.2,99
Brook Ave & E 141 St,1486.69,25
Brook Ave & E 148 St,2712.98,45
Brook Ave & E 157 St,2431.22,41
Brooklyn Bridge Park - Pier 2,2000.42,33
Bus Slip & State St,1536.85,26
Bushwick Ave & Dekalb Ave,1219.3,20
Bushwick Ave & Forrest St,1470.65,25
Bushwick Ave & Furman Ave,1797.23,30
Bushwick Ave & Harman St,2029.55,34
Bushwick Ave & Linden St,1385.34,23
Bushwick Ave & McKibbin St,1082.01,18
Bushwick Ave & Powers St,940.58,16
Bushwick Ave & Stagg St,1495.3,25
Butler St & Court St,956.44,16
Cabrini Blvd & W 177 St,2236.92,37
Cadman Plaza E & Johnson St,1228.35,20
Cadman Plaza E & Red Cross Pl,1443.07,24
Cadman Plaza West & Montague St,743.09,12
Calyer St & Jewel St,1243.3,21
Cambridge Pl & Gates Ave,963.12,16
Canal St & Rutgers St,980.7,16
Carlton Ave & Dean St,986.52,16
Carlton Ave & Flushing Ave,989.63,16
Carlton Ave & Park Ave,1024.44,17
Carmine St & 6 Ave,1026.81,17
Carroll St & 5 Ave,954.27,16
Carroll St & 6 Ave,1059.13,18
Carroll St & Bond St,935.16,16
Carroll St & Columbia St,804.74,13
Carroll St & Franklin Ave,2456.48,41
Carroll St & Smith St,849.89,14
Carroll St & Washington Ave,1479.33,25
Cathedral Pkwy & Broadway,1306.78,22
Catherine St & Monroe St,994.99,17
Cauldwell Ave & E 158 St,1846.51,31
Cauldwell Ave & E 161 St,2520.23,42
Cedar St & Evergreen Ave,1159.31,19
Cedar St & Myrtle Ave,1416.54,24
Center Blvd & 48 Ave,1211.56,20
Center Blvd & 51 Ave,1602.17,27
Central Ave & Covert St,2297.2,38
Central Ave & Decatur St,1451.62,24
Central Ave & Flushing Ave,1773.43,30
Central Ave & Himrod St,1459.43,24
Central Ave & Melrose St,1248.8,21
Central Ave & Starr Street,1178.54,20
Central Ave & Weirfield St,1305.28,22
Central Ave & Woodbine St,1236.45,21
Central Park North & Adam Clayton Powell Blvd,1689.88,28
Central Park S & 6 Ave,1698.54,28
Central Park W & W 103 St,1425.76,24
Central Park W & W 91 St,1271.4,21
Central Park W & W 96 St,1569.93,26
Central Park W & W 97 St,1640.39,27
Central Park West & W 100 St,1835.73,31
Central Park West & W 102 St,1435.04,24
Central Park West & W 68 St,1391.49,23
Central Park West & W 72 St,1477.41,25
Central Park West & W 76 St,1498.9,25
Central Park West & W 82 St,1215.75,20
Central Park West & W 85 St,1422.47,24
Centre St & Chambers St,1511.41,25
Centre St & Seneca Ave,1325.79,22
Centre St & Worth St,1252.97,21
Charlotte St & Boston Rd,1062,18
Cherry St,1238.7,21
Christopher St & Greenwich St,1027.97,17
Clark St & Henry St,949.86,16
Classon Ave & St Marks Ave,1063.26,18
Clay Ave & Claremont Pkwy,2551.58,43
Clay Ave & E 173 St,6208.31,103
Clermont Ave & Lafayette Ave,1090.92,18
Clermont Ave & Park Ave,805.31,13
Cleveland Pl & Spring St,1094.36,18
Cliff St & Fulton St,1199,20
Clinton Ave & Flushing Ave,1165.22,19
Clinton Ave & Myrtle Ave,1138.83,19
Clinton St & 4 Place,1022.81,17
Clinton St & Centre St,1170.25,20
Clinton St & Grand St,859.57,14
Clinton St & Joralemon St,905.48,15
Clinton St & Tillary St,1124.72,19
Clinton St & Union St,887.86,15
Coffey St & Conover St,1484.51,25
College Ave & E 170 St,7537.88,126
Columbia Heights & Cranberry St,1223.14,20
Columbia St & Degraw St,1181.2,20
Columbia St & Kane St,1257.25,21
Columbia St & Lorraine St,1674.72,28
Columbia St & Rivington St,870.25,15
Columbia St & W 9 St,1723.95,29
Columbus Ave & W 103 St,1167.52,19
Columbus Ave & W 72 St,1092.5,18
Columbus Ave & W 95 St,1150.43,19
Commerce St & Van Brunt St,1070.63,18
Concord St & Bridge St,1139.1,19
Concourse Village East & E 158 St,3247.98,54
Concourse Village West & E 156 St,1189.29,20
Congress St & Clinton St,1065.75,18
Convent Ave & W 135 St,1400.2,23
Convent Ave & W 151 St,1857.48,31
Cooper Square & Astor Pl,937.74,16
Court St & Nelson St,1072.37,18
Court St & State St,914.17,15
Courtlandt Ave & E 149 St,2472.3,41
Courtlandt Ave & E 157 St,1226.99,20
Crescent St & 30 Ave,1065.16,18
Crescent St & 34 Ave,926.94,15
Crescent St & 35 Ave,1286.3,21
Crescent St & Broadway,917.65,15
Crescent St & Ditmars Blvd,1207.33,20
Crotona Park East & E 173 St,2291.8,38
Crotona Park North & Prospect Ave,1745.1,29
Cumberland St & Lafayette Ave,942.13,16
Cypress Ave & George St,1130.4,19
Cypress Ave & Palmetto St,1313.78,22
Dawson St & Intervale Ave,1157.04,19
DeKalb Ave & Franklin Ave,1077.42,18
DeKalb Ave & Hudson Ave,937.55,16
DeKalb Ave & S Portland Ave,1064.47,18
DeKalb Ave & Vanderbilt Ave,1014.89,17
Dean St & 4 Ave,1087.22,18
Dean St & Franklin Ave,1123.67,19
Dean St & Hoyt St,1028.77,17
Degraw St & Hoyt St,873.85,15
Degraw St & Smith St,1039.56,17
Delancey St & Eldridge St,1371.87,23
Devoe St & Lorimer St,917,15
Devoe St & Morgan Ave,1032.89,17
Ditmars Blvd & 19 St,1632.19,27
Division Av & Hooper St,1059.58,18
Division Ave & Hooper St,1637.71,27
Division Ave & Marcy Ave,1081.4,18
Division St & Bowery,998.32,17
Dock 72 Way & Market St,930.99,16
